TEAMname,color,Mascot,TEAM
Houston Baptist,#702D07,Huskies,Houston Baptist Huskies
Howard,#EE3A43,Bison,Howard Bison
Idaho,#000000,Vandals,Idaho Vandals
Idaho State,#FF8400,Bengals,Idaho State Bengals
Illinois,#F5873C,Fighting Illini,Illinois Fighting Illini
Illinois State,#E61731,Redbirds,Illinois State Redbirds
Illinois-Chicago,#234077,Flames,Illinois-Chicago Flames
Indiana,#A82B3D,Hoosiers,Indiana Hoosiers
Indiana State,#00669A,Sycamores,Indiana State Sycamores
Iona,#910126,Gaels,Iona Gaels
Iowa,#000000,Hawkeyes,Iowa Hawkeyes
Iowa State,#840A2C,Cyclones,Iowa State Cyclones
IPFW,#1B3F95,Mastodons,IPFW Mastodons
IUPUI,#A81F30,Jaguars,IUPUI Jaguars
Jackson State,#123297,Tigers,Jackson State Tigers
Jacksonville,#008568,Dolphins,Jacksonville Dolphins
Jacksonville State,#E53F40,Gamecocks,Jacksonville State Gamecocks
James Madison,#263997,Dukes,James Madison Dukes
Kansas,#006AB5,Jayhawks,Kansas Jayhawks
Kansas State,#633194,Wildcats,Kansas State Wildcats
Kennesaw State,#231F20,Owls,Kennesaw State Owls
Kent State,#131149,Golden Flashes,Kent State Golden Flashes
Kentucky,#003399,Wildcats,Kentucky Wildcats
La Salle,#000F4C,Explorers,La Salle Explorers
Lafayette,#9A0024,Leopards,Lafayette Leopards
Lamar,#231F20,Cardinals,Lamar Cardinals
Lehigh,#994708,Mountain Hawks,Lehigh Mountain Hawks
Liberty,#02298A,Flames,Liberty Flames
Lipscomb,#122A65,Bisons,Lipscomb Bisons
Long Beach State,#000000,49ers,Long Beach State 49ers
Long Island,#000000,Blackbirds,Long Island Blackbirds
Longwood,#004990,Lancers,Longwood Lancers
Louisiana Tech,#006AB5,Bulldogs,Louisiana Tech Bulldogs
Louisiana-Lafayette,#D73347,Ragin' Cajuns,Louisiana-Lafayette Ragin' Cajuns
Louisiana-Monroe,#231F20,Warhawks,Louisiana-Monroe Warhawks
Louisville,#FD0B20,Cardinals,Louisville Cardinals
Loyola (IL) ,#9E0E43,Ramblers,Loyola (IL) Ramblers
Loyola (MD),#016540,Greyhounds,Loyola (MD) Greyhounds
Loyola Marymount,#8C0029,Lions,Loyola Marymount Lions
LSU,#33297B,Tigers,LSU Tigers
Maine,#2E8DC4,Black Bears,Maine Black Bears
Manhattan,#528C39,Jaspers,Manhattan Jaspers
Marist,#EF1216,Red Foxes,Marist Red Foxes
Marquette,#002F78,Golden Eagles,Marquette Golden Eagles
Marshall,#01592F,Thundering Herd,Marshall Thundering Herd
Maryland,#D5002B,Terrapins,Maryland Terrapins
Maryland-Eastern Shore,#98012E,Hawks,Maryland-Eastern Shore Hawks
Massachusetts,#9F011A,Minutemen,Massachusetts Minutemen
McNeese State,#FFD51D,Cowboys,McNeese State Cowboys
Memphis,#2A2A9B,Tigers,Memphis Tigers
