,TEAM,GP,AST,APG,TO,TOPG,AST/TO,Season,BLK,BLK/PF,BLKPG,PF,DEF,DRPG,OFF,ORPG,REB,RPG,ST/PF,ST/TO,STL,STPG,2P%,2PA,2PM,3P%,3PAPG,3PATotal,3PMPG,3PMTotal,FG%,PPG,PPS,FT%,FTAPG,FTATotal,FTMPG,FTMTotal
671,Utah State,8,120,15.0,103,12.9,1.17,2015,20,0.14,2.50,139,211,26.4,91,11.4,302,37.8,0.35,0.48,49,6.13,.473,313,148,.347,21,170,7.4,59,.490,70.3,1.16,.679,16.4,131,11.1,89
672,Utah,10,149,14.9,121,12.1,1.23,2015,52,0.33,5.20,158,286,28.6,97,9.7,383,38.3,0.32,0.41,50,5.00,.578,334,193,.357,22,221,7.9,79,.561,80.6,1.45,.732,25.0,250,18.3,183
673,Notre Dame,9,134,14.9,86,9.6,1.56,2015,32,0.25,3.56,130,250,27.8,101,11.2,351,39.0,0.35,0.53,46,5.11,.536,330,177,.412,22,194,8.9,80,.567,79.6,1.37,.701,19.3,174,13.6,122
674,Lamar,9,134,14.9,132,14.7,1.02,2015,41,0.18,4.56,224,238,26.4,132,14.7,370,41.1,0.27,0.46,61,6.78,.482,342,165,.321,20,184,6.6,59,.482,77.1,1.32,.706,29.4,265,20.8,187
675,Loyola Marymount,9,134,14.9,105,11.7,1.28,2015,27,0.13,3.00,203,200,22.2,113,12.6,313,34.8,0.35,0.68,71,7.89,.445,371,165,.344,23,209,8.0,72,.471,73.0,1.13,.766,16.1,145,12.3,111
676,South Carolina,9,134,14.9,116,12.9,1.16,2015,48,0.27,5.33,176,254,28.2,121,13.4,375,41.7,0.40,0.60,70,7.78,.486,401,195,.396,17,149,6.6,59,.515,83.2,1.36,.677,29.9,269,20.2,182
677,St Bonaventure,8,119,14.9,94,11.8,1.27,2015,26,0.16,3.25,166,196,24.5,99,12.4,295,36.9,0.31,0.54,51,6.38,.498,303,151,.324,22,176,7.1,57,.494,75.5,1.26,.809,20.3,162,16.4,131
678,Oregon State,8,119,14.9,103,12.9,1.16,2015,37,0.25,4.63,150,199,24.9,93,11.6,292,36.5,0.38,0.55,57,7.13,.476,309,147,.405,19,148,7.5,60,.519,73.0,1.28,.683,20.1,161,13.8,110
679,Northwestern State,8,119,14.9,119,14.9,1.00,2015,27,0.17,3.38,156,165,20.6,72,9.0,237,29.6,0.21,0.27,32,4.00,.508,307,156,.316,20,158,6.3,50,.497,73.3,1.26,.785,19.8,158,15.5,124
680,Princeton,7,104,14.9,82,11.7,1.27,2015,23,0.18,3.29,128,217,31.0,83,11.9,300,42.9,0.35,0.55,45,6.43,.488,244,119,.348,29,201,10.0,70,.503,77.0,1.21,.655,19.9,139,13.0,91
681,Arizona,11,163,14.8,146,13.3,1.12,2015,41,0.21,3.73,197,322,29.3,138,12.5,460,41.8,0.35,0.47,69,6.27,.549,452,248,.309,17,188,5.3,58,.523,78.1,1.34,.685,25.1,276,17.2,189
682,USC,10,148,14.8,129,12.9,1.15,2015,67,0.39,6.70,173,285,28.5,133,13.3,418,41.8,0.39,0.53,68,6.80,.498,406,202,.376,23,226,8.5,85,.521,80.9,1.28,.676,22.2,222,15.0,150
683,Georgia Tech,9,133,14.8,104,11.6,1.28,2015,40,0.25,4.44,157,248,27.6,141,15.7,389,43.2,0.32,0.48,50,5.56,.510,412,210,.344,18,160,6.1,55,.511,80.6,1.27,.729,21.3,192,15.6,140
684,Arkansas State,9,133,14.8,110,12.2,1.21,2015,46,0.24,5.11,192,272,30.2,108,12.0,380,42.2,0.28,0.48,53,5.89,.462,431,199,.326,16,144,5.2,47,.469,77.7,1.22,.762,23.3,210,17.8,160
685,Western Illinois,8,118,14.8,89,11.1,1.33,2015,38,0.24,4.75,161,218,27.3,79,9.9,297,37.1,0.33,0.60,53,6.63,.483,319,154,.429,18,140,7.5,60,.532,74.5,1.30,.725,18.6,149,13.5,108
686,UNLV,11,162,14.7,154,14.0,1.05,2015,64,0.29,5.82,224,290,26.4,135,12.3,425,38.6,0.46,0.67,103,9.36,.508,441,224,.335,20,221,6.7,74,.506,76.7,1.27,.652,24.3,267,15.8,174
687,Portland,11,162,14.7,151,13.7,1.07,2015,48,0.21,4.36,228,269,24.5,140,12.7,409,37.2,0.42,0.63,95,8.64,.472,428,202,.386,26,290,10.2,112,.515,78.1,1.20,.617,17.5,193,10.8,119
688,Massachusetts,10,147,14.7,121,12.1,1.21,2015,28,0.14,2.80,205,262,26.2,106,10.6,368,36.8,0.39,0.65,79,7.90,.513,380,195,.363,24,237,8.6,86,.525,80.6,1.31,.678,23.3,233,15.8,158
689,Florida State,9,132,14.7,123,13.7,1.07,2015,31,0.18,3.44,169,251,27.9,109,12.1,360,40.0,0.43,0.59,73,8.11,.561,387,217,.322,19,171,6.1,55,.537,85.9,1.39,.722,26.8,241,19.3,174
690,Saint Louis,9,132,14.7,128,14.2,1.03,2015,23,0.13,2.56,178,234,26.0,65,7.2,299,33.2,0.26,0.37,47,5.22,.500,300,150,.329,17,149,5.4,49,.498,67.6,1.35,.706,25.3,228,17.9,161
691,Akron,9,132,14.7,122,13.6,1.08,2015,42,0.25,4.67,165,277,30.8,125,13.9,402,44.7,0.29,0.39,48,5.33,.457,300,137,.379,28,256,10.8,97,.508,76.3,1.24,.670,20.2,182,13.6,122
692,Kansas State,9,132,14.7,108,12.0,1.22,2015,24,0.14,2.67,177,221,24.6,130,14.4,351,39.0,0.36,0.59,64,7.11,.480,371,178,.304,19,168,5.7,51,.472,75.2,1.26,.715,26.1,235,18.7,168
693,UTEP,9,132,14.7,119,13.2,1.11,2015,28,0.15,3.11,190,261,29.0,83,9.2,344,38.2,0.29,0.47,56,6.22,.518,361,187,.309,19,175,6.0,54,.500,76.9,1.29,.672,25.8,232,17.3,156
694,Louisiana Lafayette,8,117,14.6,104,13.0,1.13,2015,27,0.16,3.38,166,223,27.9,117,14.6,340,42.5,0.39,0.62,64,8.00,.574,343,197,.298,25,198,7.4,59,.528,88.8,1.31,.692,25.1,201,17.4,139
695,Georgetown,10,146,14.6,141,14.1,1.04,2015,50,0.23,5.00,219,270,27.0,94,9.4,364,36.4,0.25,0.39,55,5.50,.527,317,167,.359,22,223,8.0,80,.531,75.9,1.41,.740,25.0,250,18.5,185
